구분,국문,영문,비고
영화제명,제9회 울산울주세계산악영화제,9th Ulsan Ulju Mountain Film Festival,
영화제명,2024 울산울주세계산악영화제,Ulsan Ulju Mountain Film Festival 2024,
인명,이순걸,Lee Soon-geol,
인명,엄홍길,Um Hong-gil,
인명,스티븐 베너블스,Stephen Venables,
인명,크리스 보닝턴,Chris Bonington,
인명,라인홀트 메스너,Reinhold Messner,
장소,영남알프스 복합웰컴센터,Yeongnam Alps Welcome Center,
장소,울주 시네마,Ulju Cinema,
장소,광장,Square,
장소,식음료부스,Food Booth,
장소,옥상,Rooftop,산악문화관 옥상
장소,데크 쉼터,Deck Lounge,영상체험관 데크(구 게스트 라운지)
장소,힐링 스테이지,Healing Stage,산악문화관 우측 계단 밑 데크
장소,움프 놀이터,UMFF Playground,번개 미로 옆·언덕 극장 올라가는 언덕 우측
장소,소공연장,Mini Stage,구 움프돔
장소,움프 로드,UMFF Road,
장소,산악문화관,Mountain House,
장소,영상체험관,Experience House,
장소,프레스센터,Press Center,
장소,게스트 시사실,Guest Video Room,
장소,세미나실,Seminar Room,
장소,안내,Information,
장소,티켓부스,Ticket Booth,
장소,기념품샵,Gift Shop,
장소,회의실,Meeting Room,
장소,움프 시네마,UMFF Cinema,UC
장소,알프스 시네마 1,Alps Cinema 1,AC1
장소,알프스 시네마 2,Alps Cinema 2,AC2
장소,언덕 극장,Hill Cinema,HC
장소,카페 뒤 극장,Cafe Cinema,CC
장소,울주 시네마 1,Ulju Cinema 1,UJ 1
장소,울주 시네마 2,Ulju Cinema 2,UJ 2
장소,울주 시네마 3,Ulju Cinema 3,UJ 3
섹션,국제경쟁,International Competition,
섹션,아시아경쟁,Asian Competition,
섹션,산,Mountain,
섹션,자연,Nature,
섹션,인간,Human,
섹션,올해의 산,Guest Country,
섹션,- 히말라야 - 네팔,- Himalaya - NEPAL,
섹션,"헬로, 트렌토!","Hello, Trento!",
섹션,"10년, 10편","10 years, 10 films",
섹션,코리안 웨이브,Korean Wave,
섹션,투게더,Together,
섹션,움프프로젝트,UMFF Project,
섹션,- 2025 움프서밋,- UMFFsummit 2025,
섹션,- 2025 움프멘터리,- UMFFmentary 2025,
시상,대상,Grand Prize,
시상,작품상,Best Film,
시상,감독상,Best Director,
시상,촬영상,Best Cinematography,
시상,심사위원 특별상,Special Jury Prize,
시상,넷팩상,NETPAC Award,
시상,청소년심사위원상,Youth Jury Award,
시상,산악영화 관객상,Audience Award - Mountain Film,
시상,울산울주세계산악문화상,Ulsan Ulju Mountain Culture Award,
시상,특별공로상,Special Achievement Award,
프로그램,게스트와의 만남,Guest Visit,영화 감독·배우 등 관계자 미참석 시
프로그램,개막작 / 폐막작,Opening Film / Closing Film,
프로그램,문화가 있는 날 움프극장,UMFF Screening,
프로그램,찾아가는 움프극장,,
프로그램,UMCA 강연,UMCA Lecture,2025 UMCA 수상자: 라인홀트 메스너 Reinhold Messner
프로그램,자연에서 노래하다,Singing in Nature,
프로그램,자연에서 이야기하다,Talking in Nature,각종 GV·토크·포럼 등을 통칭
프로그램,자연에서 채우다,Playing in Nature,
프로그램,자연에서 펼치다,Viewing in Nature,
프로그램,온라인 상영관,UMFF on Air,
프로그램,게스트와의 만남,Q&A,영화 감독·배우 등 관계자 참석 시
프로그램,움프 토크,UMFF Talk,영화 관계자 미참석 / 상영 전 해설 포함
프로그램,움프 무대인사,UMFF Greeting,
프로그램,움프 포럼,UMFF Forum,
프로그램,비박 상영,Bivouac Screening,
프로그램,배리어프리 상영,Barrier-free,
프로그램,라이브 더빙 극장,Live Dud Theater,
용어,청소년심사위원,Youth Jury,
용어,개막식 / 폐막식,Opening Ceremony / Closing Ceremony,
용어,움프 서포터즈,UMFF Supporters,
용어,온라인 상영관 관람권,UMFF on Air Ticket,
용어,움프 패스,UMFF Pass,
용어,장소,Venue,
용어,소요시간,Duration,
용어,일시,Date/Time,
용어,구성,Content,
용어,관객리뷰단,Audience Reviewer,
국가,한국,Korea,
국가,미국,USA,
국가,대만,Taiwan,
국가,홍콩,"Hong Kong, China",
등급,전체 관람가,General (G),
등급,12세 이상 관람가,Under 12 not admitted (12),
등급,15세 이상 관람가,Under 15 not admitted (15),
등급,18세 이상 관람가,Under 18 not admitted (18),
자막,영자막 있음,English Subtitles,
자막,영자막 없음,No English Subtitles,
